datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-26 17:03:21.725813;Btn2;pressed;True
2021-01-26 17:03:24.519210;Btn1;pressed;True
2021-01-26 17:03:27.620476;Btn2;pressed;True
2021-01-26 17:03:30.620204;Btn1;pressed;True
2021-01-26 17:03:33.807210;Btn2;pressed;True
2021-01-26 17:03:36.656953;Btn1;pressed;True
2021-01-26 17:03:39.771045;Btn2;pressed;True
2021-01-26 17:03:42.587213;Btn1;pressed;True
2021-01-26 17:03:45.726458;Btn2;pressed;True
2021-01-26 17:03:48.615264;Btn1;pressed;True
2021-01-26 17:03:51.927276;Btn2;pressed;True
2021-01-26 17:03:54.825105;Btn1;pressed;True
2021-01-26 17:03:57.976308;Btn2;pressed;True
2021-01-26 17:04:00.909265;Btn1;pressed;True
2021-01-26 17:04:04.171275;Btn2;pressed;True
2021-01-26 17:04:07.039212;Btn1;pressed;True
2021-01-26 17:04:10.270696;Btn2;pressed;True
2021-01-26 17:04:13.218072;Btn1;pressed;True
2021-01-26 17:04:16.335210;Btn2;pressed;True
2021-01-26 17:04:19.267640;Btn1;pressed;True
2021-01-26 17:04:22.460028;Btn2;pressed;True
2021-01-26 17:04:25.379252;Btn1;pressed;True
2021-01-26 17:04:28.529620;Btn2;pressed;True
2021-01-26 17:04:31.414867;Btn1;pressed;True
2021-01-26 17:04:34.479234;Btn2;pressed;True
2021-01-26 17:04:37.381243;Btn1;pressed;True
2021-01-26 17:04:40.607255;Btn2;pressed;True
2021-01-26 17:04:43.475211;Btn1;pressed;True
2021-01-26 17:04:46.582595;Btn2;pressed;True
2021-01-26 17:04:49.476914;Btn1;pressed;True
2021-01-26 17:04:52.739237;Btn2;pressed;True
2021-01-26 17:04:55.607571;Btn1;pressed;True
2021-01-26 17:04:58.596603;Btn2;pressed;True
2021-01-26 17:05:01.551212;Btn1;pressed;True
2021-01-26 17:05:04.741022;Btn2;pressed;True
2021-01-26 17:05:07.643246;Btn1;pressed;True
2021-01-26 17:05:10.742397;Btn2;pressed;True
2021-01-26 17:05:13.647210;Btn1;pressed;True
2021-01-26 17:05:16.775022;Btn2;pressed;True
2021-01-26 17:05:19.573535;Btn1;pressed;True
2021-01-26 17:05:22.888513;Btn2;pressed;True
2021-01-26 17:05:25.775763;Btn1;pressed;True
2021-01-26 17:05:28.931276;Btn2;pressed;True
2021-01-26 17:05:31.767260;Btn1;pressed;True
2021-01-26 17:05:35.051270;Btn2;pressed;True
2021-01-26 17:05:37.940565;Btn1;pressed;True
2021-01-26 17:05:40.952526;Btn2;pressed;True
2021-01-26 17:05:43.931031;Btn1;pressed;True
2021-01-26 17:05:47.105943;Btn2;pressed;True
2021-01-26 17:05:49.907270;Btn1;pressed;True
2021-01-26 17:05:52.963212;Btn2;pressed;True
2021-01-26 17:05:55.786878;Btn1;pressed;True
2021-01-26 17:05:58.938505;Btn2;pressed;True
2021-01-26 17:06:01.867238;Btn1;pressed;True
2021-01-26 17:06:05.099257;Btn2;pressed;True
2021-01-26 17:06:07.911238;Btn1;pressed;True
2021-01-26 17:06:11.219225;Btn2;pressed;True
2021-01-26 17:06:14.032091;Btn1;pressed;True
2021-01-26 17:06:17.128594;Btn2;pressed;True
2021-01-26 17:06:20.059240;Btn1;pressed;True
2021-01-26 17:06:23.142618;Btn2;pressed;True
2021-01-26 17:06:26.075223;Btn1;pressed;True
2021-01-26 17:06:29.195296;Btn2;pressed;True
2021-01-26 17:06:32.071216;Btn1;pressed;True
2021-01-26 17:06:35.267039;Btn2;pressed;True
2021-01-26 17:06:38.094243;Btn1;pressed;True
2021-01-26 17:06:41.236362;Btn2;pressed;True
2021-01-26 17:06:44.204938;Btn1;pressed;True
2021-01-26 17:06:47.381218;Btn2;pressed;True
2021-01-26 17:06:50.285680;Btn1;pressed;True
2021-01-26 17:06:53.407236;Btn2;pressed;True
2021-01-26 17:06:56.299428;Btn1;pressed;True
2021-01-26 17:06:59.507527;Btn2;pressed;True
2021-01-26 17:07:02.324090;Btn1;pressed;True
2021-01-26 17:07:05.444074;Btn2;pressed;True
2021-01-26 17:07:08.325569;Btn1;pressed;True
2021-01-26 17:07:11.528227;Btn2;pressed;True
2021-01-26 17:07:14.444133;Btn1;pressed;True
2021-01-26 17:07:17.620634;Btn2;pressed;True
2021-01-26 17:07:20.447010;Btn1;pressed;True
2021-01-26 17:07:23.564839;Btn2;pressed;True
2021-01-26 17:07:26.399239;Btn1;pressed;True
2021-01-26 17:07:29.560076;Btn2;pressed;True
2021-01-26 17:07:32.535212;Btn1;pressed;True
2021-01-26 17:07:35.573734;Btn2;pressed;True
2021-01-26 17:07:38.476729;Btn1;pressed;True
2021-01-26 17:07:41.582729;Btn2;pressed;True
2021-01-26 17:07:44.491568;Btn1;pressed;True
2021-01-26 17:07:47.605745;Btn2;pressed;True
2021-01-26 17:07:50.636645;Btn1;pressed;True
2021-01-26 17:07:53.799225;Btn2;pressed;True
2021-01-26 17:07:56.656836;Btn1;pressed;True
2021-01-26 17:07:59.955264;Btn2;pressed;True
2021-01-26 17:08:02.703257;Btn1;pressed;True
2021-01-26 17:08:05.893948;Btn2;pressed;True
2021-01-26 17:08:08.756391;Btn1;pressed;True
2021-01-26 17:08:11.835224;Btn2;pressed;True
2021-01-26 17:08:14.678141;Btn1;pressed;True
2021-01-26 17:08:17.919209;Btn2;pressed;True
2021-01-26 17:08:20.813942;Btn1;pressed;True
2021-01-26 17:08:23.954148;Btn2;pressed;True
2021-01-26 17:08:26.771734;Btn1;pressed;True
2021-01-26 17:08:29.843403;Btn2;pressed;True
2021-01-26 17:08:32.811210;Btn1;pressed;True
2021-01-26 17:08:35.941007;Btn2;pressed;True
2021-01-26 17:08:38.740369;Btn1;pressed;True
2021-01-26 17:08:41.975245;Btn2;pressed;True
2021-01-26 17:08:44.909716;Btn1;pressed;True
2021-01-26 17:08:47.997078;Btn2;pressed;True
2021-01-26 17:08:50.843247;Btn1;pressed;True
2021-01-26 17:08:53.966965;Btn2;pressed;True
2021-01-26 17:08:56.887296;Btn1;pressed;True
2021-01-26 17:09:00.008060;Btn2;pressed;True
2021-01-26 17:09:02.957310;Btn1;pressed;True
2021-01-26 17:09:06.103252;Btn2;pressed;True
2021-01-26 17:09:09.027897;Btn1;pressed;True
2021-01-26 17:09:12.104826;Btn2;pressed;True
2021-01-26 17:09:14.994840;Btn1;pressed;True
2021-01-26 17:09:18.221034;Btn2;pressed;True
2021-01-26 17:09:21.019240;Btn1;pressed;True
2021-01-26 17:09:24.168411;Btn2;pressed;True
2021-01-26 17:09:27.060969;Btn1;pressed;True
2021-01-26 17:09:30.159224;Btn2;pressed;True
2021-01-26 17:09:33.223271;Btn1;pressed;True
2021-01-26 17:09:36.313419;Btn2;pressed;True
2021-01-26 17:09:39.239549;Btn1;pressed;True
2021-01-26 17:09:42.367574;Btn2;pressed;True
2021-01-26 17:09:45.227935;Btn1;pressed;True
2021-01-26 17:09:48.351229;Btn2;pressed;True
2021-01-26 17:09:51.250179;Btn1;pressed;True
2021-01-26 17:09:54.535211;Btn2;pressed;True
2021-01-26 17:09:57.381204;Btn1;pressed;True
2021-01-26 17:10:00.543667;Btn2;pressed;True
2021-01-26 17:10:03.378588;Btn1;pressed;True
